,Discount price,Original Price,Product Brand,Product Category Code,Product Name,Promo Tag,Rating,Raw Product,Review,Sales,Vendor,Discount,Price Range,Product Category,Revenue
84,71,89,L'Oreal Paris,AA16107510001,Men Expert HYDRA POWER DUO FOAM*272313,2-day group shipment,5.0,L'Oreal Paris - Men Expert HYDRA POWER DUO FOAM*272313,2.0,40.0,L’Oreal Paris HK Flagship Store,18,0-100,Cleanser,2840.0
85,111,139,L'Oreal Paris,AA16107520001,Men Expert Pure & Matte Volcano Moisturier*272436,2-day group shipment,,L'Oreal Paris - Men Expert Pure & Matte Volcano Moisturier*272436,,20.0,L’Oreal Paris HK Flagship Store,28,101-200,Moisturizer,2220.0
86,225,370,Kiehl's,AA16107520001,Age Defender Gel Moisturizer 50ml (Parallel Import),2-day group shipment,,Kiehl's - Age Defender Gel Moisturizer 50ml (Parallel Import),,20.0,NOBO Cosmetics & Skincare Outlet,145,201-300,Moisturizer,4500.0
87,65,108,Shiseido,AA16101500001,UNO SKIN SERUM WATER 200ml MEN'S SKIN MOISTURIZER BEAUTY CARE (4901872459988),2-day group shipment,,Shiseido - UNO SKIN SERUM WATER 200ml MEN'S SKIN MOISTURIZER BEAUTY CARE (4901872459988),,100.0,Jadora 日本美妝護膚,43,0-100,Others,6500.0
88,271,388,Shiseido,AA16107520001,Men Deep Cleansing Scrub  -[Parallel Import Product],2-day group shipment,,Shiseido - Men Deep Cleansing Scrub  -[Parallel Import Product],,60.0,Beautique,117,201-300,Moisturizer,16260.0
89,103,129,L'Oreal Paris,AA16107520001,Men Expert Hydra Energetic Creatine Anti-Fatigue Lotion*017739,2-day group shipment,4.0,L'Oreal Paris - Men Expert Hydra Energetic Creatine Anti-Fatigue Lotion*017739,1.0,40.0,L’Oreal Paris HK Flagship Store,26,101-200,Moisturizer,4120.0
90,63,79,L'Oreal Paris,AA16107520001,MEX PM CHARCOAL BLACK SCRUB 100ML *025518,2-day group shipment,,L'Oreal Paris - MEX PM CHARCOAL BLACK SCRUB 100ML *025518,,40.0,L’Oreal Paris HK Flagship Store,16,0-100,Moisturizer,2520.0
91,289,350,Atorrege AD+,AA16107520001,Barrier Veil (Cream) 40g (Parallel Import),2-day group shipment,,Atorrege AD+ - Barrier Veil (Cream) 40g (Parallel Import),,60.0,Pretties HK,61,201-300,Moisturizer,17340.0
92,219,313,Clarins,AA16107510001,Men Exfoliating Cleanser  -[Parallel Import Product],2-day group shipment,,Clarins - Men Exfoliating Cleanser  -[Parallel Import Product],,100.0,Beautique,94,201-300,Cleanser,21900.0
93,631,669,Sulwhasoo 雪花秀,AA16107510001,順行洗面奶3件套盒 [平行進口],2-day group shipment,4.0,Sulwhasoo 雪花秀 - 順行洗面奶3件套盒 [平行進口],1.0,,Pink Labo,38,601-700,Cleanser,
94,79,146,L'oreal,AA16107530001,Men Expert Barber Club Beard &amp; Hair Styling Cream  -[Parallel Import Product],2-day group shipment,5.0,L'oreal - Men Expert Barber Club Beard &amp; Hair Styling Cream  -[Parallel Import Product],1.0,10.0,Beautique,67,0-100,After Shave Care,790.0
95,79,99,L'Oreal Paris,AA16107510001,Men Expert Hydra Energetic Care Wash*256221,2-day group shipment,,L'Oreal Paris - Men Expert Hydra Energetic Care Wash*256221,,40.0,L’Oreal Paris HK Flagship Store,20,0-100,Cleanser,3160.0
96,253,488,CLINIQUE,AA16107520001,Moisturizing Lotion  -[Parallel Import Product],2-day group shipment,5.0,CLINIQUE - Moisturizing Lotion  -[Parallel Import Product],1.0,100.0,Beautique,235,201-300,Moisturizer,25300.0
