,Discount price,Original Price,Product Brand,Product Category Code,Product Name,Promo Tag,Rating,Raw Product,Review,Sales,Vendor
87,65.00, 108.00,Shiseido,AA16101500001,UNO SKIN SERUM WATER 200ml MEN'S SKIN MOISTURIZER BEAUTY CARE (4901872459988),2-day group shipment,,Shiseido - UNO SKIN SERUM WATER 200ml MEN'S SKIN MOISTURIZER BEAUTY CARE (4901872459988),,100,Jadora 日本美妝護膚
88,271.00, 388.00,Shiseido,AA16107520001,Men Deep Cleansing Scrub  -[Parallel Import Product],2-day group shipment,,Shiseido - Men Deep Cleansing Scrub  -[Parallel Import Product],,60,Beautique
89,103.20, 129.00,L'Oreal Paris,AA16107520001,Men Expert Hydra Energetic Creatine Anti-Fatigue Lotion*017739,2-day group shipment,4,L'Oreal Paris - Men Expert Hydra Energetic Creatine Anti-Fatigue Lotion*017739,1,40,L’Oreal Paris HK Flagship Store
90,63.20, 79.00,L'Oreal Paris,AA16107520001,MEX PM CHARCOAL BLACK SCRUB 100ML *025518,2-day group shipment,,L'Oreal Paris - MEX PM CHARCOAL BLACK SCRUB 100ML *025518,,40,L’Oreal Paris HK Flagship Store
91,289.00, 350.00,Atorrege AD+,AA16107520001,Barrier Veil (Cream) 40g (Parallel Import),2-day group shipment,,Atorrege AD+ - Barrier Veil (Cream) 40g (Parallel Import),,60,Pretties HK
92,219.00, 313.00,Clarins,AA16107510001,Men Exfoliating Cleanser  -[Parallel Import Product],2-day group shipment,,Clarins - Men Exfoliating Cleanser  -[Parallel Import Product],,100,Beautique
93,631.00, 669.00,Sulwhasoo 雪花秀,AA16107510001,順行洗面奶3件套盒 [平行進口],2-day group shipment,4,Sulwhasoo 雪花秀 - 順行洗面奶3件套盒 [平行進口],1,,Pink Labo
94,79.00, 146.00,L'oreal,AA16107530001,Men Expert Barber Club Beard &amp; Hair Styling Cream  -[Parallel Import Product],2-day group shipment,5,L'oreal - Men Expert Barber Club Beard &amp; Hair Styling Cream  -[Parallel Import Product],1,10,Beautique
95,79.20, 99.00,L'Oreal Paris,AA16107510001,Men Expert Hydra Energetic Care Wash*256221,2-day group shipment,,L'Oreal Paris - Men Expert Hydra Energetic Care Wash*256221,,40,L’Oreal Paris HK Flagship Store
96,253.00, 488.00,CLINIQUE,AA16107520001,Moisturizing Lotion  -[Parallel Import Product],2-day group shipment,5,CLINIQUE - Moisturizing Lotion  -[Parallel Import Product],1,100,Beautique
97,62.00, 140.00,L'oreal,AA16107530001,Men Expert Face Creme 2-in-1 After Shave + Face Care  -[Parallel Import Product],2-day group shipment,5,L'oreal - Men Expert Face Creme 2-in-1 After Shave + Face Care  -[Parallel Import Product],1,100,Beautique
98,206.00, 398.00,Biotherm,AA16107510001,Homme Aquapower Cleanser  -[Parallel Import Product],2-day group shipment,5,Biotherm - Homme Aquapower Cleanser  -[Parallel Import Product],2,100,Beautique
99,85.00, 100.00,Shiseido,AA16107530001,Men MG5 After Shave Lotion 150ml [Parallel Imports],2-day group shipment,5,Shiseido - Men MG5 After Shave Lotion 150ml [Parallel Imports],2,40,Trend Beauty Mart
100,352.00, 566.00,Biotherm,AA16107520001,Homme Aquapower Oligo-Thermal Ultra Moisturizing Care  -[Parallel Import Product],2-day group shipment,4,Biotherm - Homme Aquapower Oligo-Thermal Ultra Moisturizing Care  -[Parallel Import Product],1,90,Beautique
101,198.00, 399.00,KIEHLS,AA16107510001,Kiehl's- Facial Fuel Energizing Face Wash For Men 250ml,2-day group shipment,,KIEHLS - Kiehl's- Facial Fuel Energizing Face Wash For Men 250ml,,20,KINGSWAY BEAUTY
102,95.20, 119.00,L'Oreal Paris,AA16107520001,Men Expert Pure & Matte Volcano Icy Lotion*026304,2-day group shipment,,L'Oreal Paris - Men Expert Pure & Matte Volcano Icy Lotion*026304,,10,L’Oreal Paris HK Flagship Store
103,71.20, 89.00,L'Oreal Paris,AA16107510001,Men Expert Hydra Power Foam*271286,2-day group shipment,,L'Oreal Paris - Men Expert Hydra Power Foam*271286,,40,L’Oreal Paris HK Flagship Store
104,224.00, 415.00,Shiseido,AA16107520001,Men Hydrating Lotion  -[Parallel Import Product],2-day group shipment,1,Shiseido - Men Hydrating Lotion  -[Parallel Import Product],1,90,Beautique
105,58.00, 98.00,Shiseido 資生堂,AA16107520001,UNO Skincare Tank For Men #Mild 160ml [Parallel Import] (4901872449736),2-day group shipment,5,Shiseido 資生堂 - UNO Skincare Tank For Men #Mild 160ml [Parallel Import] (4901872449736),1,50,Royal Cosmetics
106,67.00, 79.00,L'Oreal Paris,AA16107510001,Men Expert Pure & Matte Oak Charcoal Anti-Blackhead Scrub 100ml [Parallel Import] (4710446826817),2-day group shipment,4,L'Oreal Paris - Men Expert Pure & Matte Oak Charcoal Anti-Blackhead Scrub 100ml [Parallel Import] (4710446826817),1,60,Royal Cosmetics
107,215.00, 309.00,Innisfree,AA16107520001,Forest For Men Fresh Set,2-day group shipment,,Innisfree - Forest For Men Fresh Set,,,NANA MALL
108,206.00, 348.00,Kiehl's,AA16107510001,Facial Fuel Energizing Face Wash Gel Cleanser  -[Parallel Import Product],2-day group shipment,3,Kiehl's - Facial Fuel Energizing Face Wash Gel Cleanser  -[Parallel Import Product],2,100,Beautique
109,124.00, 155.00,L'Oreal Paris,AA16107520001,MEN HE MULTI ACTION 8 50ML RENO*058220,2-day group shipment,,L'Oreal Paris - MEN HE MULTI ACTION 8 50ML RENO*058220,,40,L’Oreal Paris HK Flagship Store
